company,group
American Mercury Ins Co,MERCURY GEN GRP
NC Farm Bureau Mutual Ins Co,North Carolina Farm Bureau GRP
Pioneer State Mutual Ins Co,Pioneer State Mutual Ins Co
State Farm Mutl Automobile Ins,STATE FARM GRP
Amica Mutual Ins Co,AMICA MUT GRP
Vermont Mutual Ins Co,VERMONT MUT GRP
Cumberland Ins Co,CUMBERLAND GRP
Tennessee Farmers Mutl Ins Co,TENNESSEE FARMERS GRP
Allstate Northbrook Indem Co,ALLSTATE INS GRP
Farm Bureau Genl Ins Co of MI,MICHIGAN FARM BUREAU GRP
Standard Fire Ins Co,Travelers Grp
NGM Ins Co,AMERICAN FAMILY INS GRP
MS Farm Bureau Casualty Ins Co,SOUTHERN FARM BUREAU CAS GRP
Farmers Ins Co of WA,FARMERS INS GRP
Selective Auto Ins Co of NJ,SELECTIVE INS GRP
Travelers Personal Ins Co,Travelers Grp
Hastings Ins Co,Hastings Ins Co
Main St Am Protection Ins Co,AMERICAN FAMILY INS GRP
United Financial Casualty Co,PROGRESSIVE GRP
Auto Club County Mutl Ins Co,Auto Club Enterprises Ins Grp
Frankenmuth Ins Co,FRANKENMUTH GRP
GEICO Advantage Ins Co,BERKSHIRE HATHAWAY GRP
Automobile Club Inter-Ins,Auto Club Enterprises Ins Grp
United Automobile Ins Co,United Automobile Ins Co
Auto Club Group Ins Co,AUTOMOBILE CLUB MI GRP
Allstate F&C Ins Co,ALLSTATE INS GRP
Farm Bureau P&C Ins Co,IOWA FARM BUREAU GRP
Progressive Paloverde Ins Co,PROGRESSIVE GRP
West Bend Mutual Ins Co,West Bend Mutual Ins Co
Erie Ins P&C Co,ERIE INS GRP
American National P&C Co,Brookfield Reins Ltd Grp
Farmers P&C Ins Co,FARMERS INS GRP
Safeco Ins Co of America,LIBERTY MUT GRP
Trumbull Ins Co,HARTFORD FIRE & CAS GRP
Progressive Select Ins Co,PROGRESSIVE GRP
Mercury Ins Co,MERCURY GEN GRP
Trustgard Ins Co,GRANGE MUT CAS GRP
Chubb National Ins Co,Chubb Ltd Grp
VA Farm Bureau F&C Ins Co,VIRGINIA FARM BUREAU GRP
MemberSelect Ins Co,AUTOMOBILE CLUB MI GRP
Mercury County Mutual Ins Co,MERCURY GEN GRP
Liberty Mutual Fire Ins Co,LIBERTY MUT GRP
Safeco Ins Co of Oregon,LIBERTY MUT GRP
Arbella Mutual Ins Co,ARBELLA INS GRP
Indiana Farmers Mutual Ins Co,Indiana Farmers Mutual Ins Co
Erie Ins Co of New York,ERIE INS GRP
Automobile Ins Co of Hartford,Travelers Grp
Progressive County Mutl Ins Co,PROGRESSIVE GRP
Progressive Universal Ins Co,PROGRESSIVE GRP
Grange Ind Ins Co,GRANGE MUT CAS GRP
Utica Mutual Ins Co,UTICA GRP
Mid-Century Ins Co,FARMERS INS GRP
Farmers Direct P&C Ins Co,FARMERS INS GRP
Liberty Mutual Ins Co,LIBERTY MUT GRP
